user_input,intent,response
hello,greeting,Hello! Welcome to the Hypotify Clinical Chatbot. How can I help you today?
hi,greeting,Hi there! I'm your Hypotify clinical assistant. Type 'help' to see what I can do.
hey,greeting,Hey! How can I assist you today?
good morning,greeting,Good morning! Ready to assist with patient data and clinical insights.
good afternoon,greeting,Good afternoon! How can I help?
good evening,greeting,Good evening! What can I do for you?
howdy,greeting,Howdy! Welcome to the Hypotify Clinical Chatbot.
greetings,greeting,Greetings! I'm here to help with clinical data.
what's up,greeting,Hi! I'm here and ready to assist you with patient data.
hola,greeting,Hola! How can I help you today?
hi there,greeting,Hi there! Welcome to Hypotify. How can I assist?
good day,greeting,Good day! Ready to help with all your clinical data needs.
hey there,greeting,Hey there! I'm your Hypotify clinical assistant.
morning,greeting,Good morning! How can I assist you today?
evening,greeting,Good evening! Ready to help with clinical queries.
hello chatbot,greeting,Hello! I'm the Hypotify clinical assistant. What do you need?
hi bot,greeting,Hi! I'm here to assist with your patient data needs.
hello there,greeting,Hello! Welcome. How can I help you with the clinical database today?
goodbye,goodbye,Goodbye! Thank you for using Hypotify. Stay healthy!
bye,goodbye,Take care! Come back anytime you need clinical insights.
exit,goodbye,Farewell! Hope I was able to assist you today.
quit,goodbye,Goodbye! Until next time.
see you later,goodbye,See you! Stay healthy!
farewell,goodbye,Farewell! Have a great day.
adios,goodbye,Adios! Take care.
take care,goodbye,Take care! Come back anytime.
i'm done,goodbye,Alright, goodbye! Feel free to return whenever you need help.
close,goodbye,Closing session. Goodbye!
see you,goodbye,See you later! Stay healthy!
bye bye,goodbye,Bye bye! Thanks for using Hypotify.
good night,goodbye,Good night! Come back anytime.
have a good day,goodbye,You too! Goodbye and stay healthy.
i'm leaving,goodbye,Goodbye! Thank you for using the Hypotify Clinical Chatbot.
thanks bye,goodbye,You're welcome! Goodbye and take care.
that's all,goodbye,Alright! Goodbye and feel free to come back anytime.
done for now,goodbye,Great! Goodbye for now. Come back anytime you need help.
help,help,"Here's what I can help with: patient lookup, list patients, clinical insights, translation, medical terms, sentiment analysis, and named entity recognition."
what can you do,help,I can look up patients, show clinical insights, translate text, analyze sentiment, and much more. Type 'help' for the full command list.
show commands,help,Available commands: patient <id>, patients list, insights, translate, sentiment, ner. Type 'help' for details.
commands,help,Here are the available commands. Type 'help' to see the full list.
menu,help,Here is the menu of options. Type 'help' to see what I can do.
options,help,I can assist with patient data, clinical insights, translations, and more. Type 'help'.
what do you support,help,I support patient lookups, clinical insights, translations, sentiment analysis, and named entity recognition.
assist me,help,I'm here to help! Type 'help' to see the list of available commands.
guide me,help,Sure! Type 'help' to see a guided list of everything I can do.
